label,group,description,value,unit,rationale,reference,link
Ass_R_S_fueloil_energy_cost_factor_2035,ud,Energiekostenfaktor Bereitstellung Heizöl  [€/MWh] 2035,86.7,,Heizöl-Preise Endverbraucher Deutschland (Preisprognose - Durchschnittspreis 2035),Eigene Berechnungen nach Bund der Energieverbraucher,http://https://germanzero.sharepoint.com/:x:/r/_layouts/15/Doc.aspx?sourcedoc=%7B808580B4-4D10-4FC8-BEAA-C953862D4F31%7D&file=Bund%20der%20EnergieverbraucherBrennstoff-Preisentwicklung%20in%20Deutschland_04.03.2020.xlsx&action=default&mobilereindirect=true
Ass_R_S_coal_energy_cost_factor_2035,ud,Energiekostenfaktor Bereitstellung Kohle  [€/MWh] 2035,116.5,,Steinkohle-Preise Endverbraucher Deutschland (Preisprognose - Durchschnittspreis 2035),Eigene Berechnungen nach Bund der Energieverbraucher,http://https://germanzero.sharepoint.com/:x:/r/_layouts/15/Doc.aspx?sourcedoc=%7B808580B4-4D10-4FC8-BEAA-C953862D4F31%7D&file=Bund%20der%20EnergieverbraucherBrennstoff-Preisentwicklung%20in%20Deutschland_04.03.2020.xlsx&action=default&mobilereindirect=true
Ass_H_P_heatnet_perc_gwp_2050,ui,Anteil Großwärmepumpen (KWK+GWP) an Wärmenetzversorgung in GreenSupreme,0.097,,Werte sind angelehnt an GreenSupreme und werden einer Technologie zugeorndet,"UBA GreenSupreme, S. 89",https://www.umweltbundesamt.de/sites/default/files/medien/5750/publikationen/2020_12_28_cc_05-2020_endbericht_greensupreme.pdf
Ass_H_P_heatnet_perc_solarth_2050,ui,Anteil Solarthermie (KWK+Solarthermie) an Wärmenetzversorgung in GreenSupreme,0.022,,Werte sind angelehnt an GreenSupreme und werden einer Technologie zugeorndet,"UBA GreenSupreme, S. 89",https://www.umweltbundesamt.de/sites/default/files/medien/5750/publikationen/2020_12_28_cc_05-2020_endbericht_greensupreme.pdf
Ass_H_P_heatnet_perc_qwp_2050,ui,Anteil Quartiers-WP an Wärmenetzversorgung in GreenSupreme,0.024,,Werte sind angelehnt an GreenSupreme und werden einer Technologie zugeorndet,"UBA GreenSupreme, S. 89",https://www.umweltbundesamt.de/sites/default/files/medien/5750/publikationen/2020_12_28_cc_05-2020_endbericht_greensupreme.pdf
Ass_H_P_heatnet_perc_geoth_2050,ui,Anteil Geothermie an Wärmenetzversorgung in GreenSupreme,0.069,,Werte sind angelehnt an GreenSupreme und werden einer Technologie zugeorndet,"UBA GreenSupreme, S. 89",https://www.umweltbundesamt.de/sites/default/files/medien/5750/publikationen/2020_12_28_cc_05-2020_endbericht_greensupreme.pdf
Ass_H_P_heatnet_fraction_geoth_2050,ud,Anteil Geothermie an Fernwärme in  Wärmenetzversorgung hochgerechnet,0.3254716981132076,,"Fernwärme aus Biomasse wird im Strom-Sektor berechnet, die verbleibende Fernwärmeversorgung wird mit den restlichen vier Kategorien der Wärmenetzversorgung aus GreenSupreme bedient, sodass diese 4 zu 100% hochgerechnet werden.","Eigene Berechnung angelehnt an GreenSupreme, S.89",https://www.umweltbundesamt.de/sites/default/files/medien/5750/publikationen/2020_12_28_cc_05-2020_endbericht_greensupreme.pdf
Ass_H_P_heatnet_fraction_solarth_2050,ud,Anteil Solarthermie an Fernwärme in  Wärmenetzversorgung hochgerechnet,0.10377358490566037,,"Fernwärme aus Biomasse wird im Strom-Sektor berechnet, die verbleibende Fernwärmeversorgung wird mit den restlichen vier Kategorien der Wärmenetzversorgung aus GreenSupreme bedient, sodass diese 4 zu 100% hochgerechnet werden.","Eigene Berechnung angelehnt an GreenSupreme, S.89",https://www.umweltbundesamt.de/sites/default/files/medien/5750/publikationen/2020_12_28_cc_05-2020_endbericht_greensupreme.pdf
Ass_H_P_heatnet_fraction_lheatpump_2050,ud,Anteil Großwärmepumpen an Fernwärme in  Wärmenetzversorgung hochgerechnet,0.5707547169811321,,"Fernwärme aus Biomasse wird im Strom-Sektor berechnet, die verbleibende Fernwärmeversorgung wird mit den restlichen vier Kategorien der Wärmenetzversorgung aus GreenSupreme bedient, sodass diese 4 zu 100% hochgerechnet werden. Großwärmepumpen und Quartiers-WP werden zu einer Kategorie Großwärmepumpen zusammengefasst","Eigene Berechnung angelehnt an GreenSupreme, S.89",https://www.umweltbundesamt.de/sites/default/files/medien/5750/publikationen/2020_12_28_cc_05-2020_endbericht_greensupreme.pdf
Ass_H_G_planning_cost_pct_of_wage,,Anteil der Personalkosten an der Wärmeleitplanung,1.0,%,"Eigene Annahme: Die gesamten Kosten für die Wärmeleitplanung werden für Personal aufgewendet. Optional kann auch noch Geld für Bürgerbeteiligung ausgegeben werden, aber der BW-Leitfaden Kommunale Wärmeplanung macht dazu keine Angaben.",BW 2021 Handlungsleitfaden Kommunale Wärmeplanung: keine Angabe,https://um.baden-wuerttemberg.de/fileadmin/redaktion/m-um/intern/Dateien/Dokumente/2_Presse_und_Service/Publikationen/Energie/Leitfaden-Kommunale-Waermeplanung-barrierefrei.pdf
Ass_E_P_renew_nep_total_2035,ud,"Gesamte Bereitstellung EE-Strom (nep =net electricity production)  in Deutschland im Zieljahr  2035                                   (Stand 18.12.2021, gilt ebenfalls für die Anteile in den folgenden Zeilen)",1311615103.0,MWh,"Nachfrage für Deutschland gesamt 2035 (resultiert aus den Ergebnissen der Sektorkopplung im Generator. Dieser Wert und die entsprechenden Anteile in den folgenden Zeilen müssen angepasst werden, wenn es Änderungen im Generator gibt, die zu Bedarfsänderungen führen.",,
Ass_E_P_renew_pv_pct_of_nep_2035,ud,Deutschland gesamt: Anteil Photovoltaik an Strombereitstellung Zieljahr,0.477104,%,"Anteile gemäß den standardmäßig angenommenen Ausbauzielen :
zunächst berechnen wir DG. Ich nehme dabei an, dass Gesamtbereitstellung = Gesamtbedarf sein soll. Das bedeutet, dass sich die Bereitstellung dynamisch an veränderte Bedarfe anpassen muss (z.B. wenn irgendein anderer Sektor irgendeinen Parameter ändert). Ich löse das so, dass ich die Bereitstellung für Agri-PV automatisch anpassen lasse, während die anderen Quellen konstant bleiben. Daraus folgt natürlich, dass sich die prozentualen Anteile der Quellen immer verändern, wenn sich der Strombedarf für DG verändert. Diese Anteile berechne ich dann getrennt (per Hand, aber man könnte eine Spalte einfügen, die nur für DG relevant ist. Und diese Werte müssen irgendwo festgehalten werden, wenn wir für eine Kommune rechnen und deren Stromanteile aus dem allgemeinen Netz berechnen wollen. Das heisst, wir geben den Strommix nicht vor, sondern berechnen ihn selbst aus DG und speichern ihn dann in den Annahmen (in Ermangelung eines sinnvolleren Platzes).  Wenn sich was in DG ändert, ändert sich auch der Mix",,
Ass_E_P_renew_pv_roof_pct_of_nep_2035,ud,    davon PV Dach,0.22132,,,,
Ass_E_P_renew_pv_facade_pct_of_nep_2035,ud,    davon PV Fassade,0.01213,,,,
Ass_E_P_renew_pv_park_pct_of_nep_2035,ud,    davon PV Freifläche,0.52708,,,,
Ass_E_P_renew_pv_agri_pct_of_nep_2035,ud,    davon Agrar PV ,0.23947,,,,
Ass_E_P_renew_wind_onshore_pct_of_nep_2035,ud,Deutschland gesamt: Anteil Wind onshore an Strombereitstellung Zieljahr,0.231125,%,,,
Ass_E_P_renew_wind_offshore_pct_of_nep_2035,ud,Deutschland gesamt: Anteil Wind offshore an Strombereitstellung Zieljahr,0.187041,%,,,
Ass_E_P_renew_biomass_pct_of_nep_2035,ud,Deutschland gesamt: Anteil Biomasse an Strombereitstellung Zieljahr,0.037621,%,,,
Ass_E_P_renew_geoth_pct_of_nep_2035,ud,Deutschland gesamt: Anteil Geothermie an Strombereitstellung Zieljahr,0.012383,%,,,
Ass_E_P_renew_hydro_pct_of_nep_2035,ud,Deutschland gesamt: Anteil Laufwasser an Strombereitstellung Zieljahr,0.013169,%,,,
Ass_E_P_renew_reverse_pct_of_nep_2035,ud,Deutschland gesamt: Anteil Rückverstromung  an Strombereitstellung Zieljahr,0.041557,%,,,
Ass_E_P_local_pv_roof_power_to_be_installed_2035,ud,Standardmäßig angenommenes Ausbauziel PV Dach,0.8,%,Hohe Nutzung des Potentials angenommen,,
Ass_E_P_local_pv_roof_facade_to_be_installed_2035,ud,Standardmäßig angenommenes Ausbauziel PV Fassade,0.1,%,Nutzung of technisch schwierig und kostspielig,,
Ass_E_P_local_pv_park_power_to_be_installed_2035,ud,Standardmäßig angenommenes Ausbauziel PV Freifläche,0.7,%,Hohe Nutzung des Potentials angenommen,,
Ass_E_P_local_pv_agri_power_to_be_installed_2035,ud,Standardmäßig angenommenes Ausbauziel Agri-PV ,0.10063,%,"Wird dynamisch angepasst, um die Bereitstellung dem Bedarf anzupassen (Excel Berechnung!DY100, p_local_pv_agri!power_to_be_installed_pct)",,
Ass_E_P_local_wind_onshore_power_to_be_installed_2035,ud,Standardmäßig angenommenes Ausbauziel Wind onshore,0.9,%,Hohe Nutzung des Potentials,,
Ass_E_P_renew_wind_offshore_power_to_be_installed_2035,ud,Standardmäßig angenommenes Ausbauziel Wind offshore,0.6,%,Hoher Wert für das Potential angenommen,,
Ass_E_P_local_biomass_power_to_be_installed_2035,ud,Standardmäßig angenommenes Ausbauziel Biomasse,0.0,%,"Kein Ausbau. Begründung: Biomasse wird kritisch gesehen, insbesondere Energiepflanzen mit erheblichen Umweltbelastungen. Die RESCUE-GreenSupreme-Studie fährt die energetische Primärbiomasse-Nutzung sogar ganz herunter (S. 46 ""In allen Green-Szenarien wird Primärbiomasse ab 2030 ausschließlich stofflich genutzt.""). Die Nutzung von Freiflächen für PV statt Energiepflanzen ist erheblich ertragreicher in MWh.",UBA 2020 GreenSupreme,
Ass_E_P_renew_reverse_addon_to_demand_2035,ud,"Anteil Rückverstromung an Gesamtbereitstellung 203X (abzüglich des Anteils für die Rückverstromung, weil logischerweise während der Rückverstromung kein Wasserstoff für die Rückverstromung selbst wieder erzeugt wird).",0.048,%,"In der Studie wird bei einer bei 100% EE angenommenen Stromerzeugung von 1074 TWh ein Anteil von 52 TWh (4,8%) aus Rückverstromung von Wasserstoff erzeugt.  ","""Kosteneffiziente und klimagerechte Transformationsstrategien für das deutsche Energiesystem bis zum Jahr 2050"" (FZ Jülich 2020) ",https://www.fz-juelich.de/iek/iek-3/DE/_Documents/Downloads/transformationStrategies2050_studyfinalreport_2019-10-31.pdf.pdf;jsessionid=D53004D25BBB09FFFB78DF6F1F86A2AB?__blob=publicationFile
Ass_E_P_renew_loss_brutto_to_netto,ud,Standardmäßig angenommene Leitungsverluste für alle EE für Brutto- zu Nettoproduktion,0.04143439049748932,%,"Die Produktionswerte der EE geben immer Bruttoproduktion an, doch auch in Zukunft wird es Leitungsverluste (über längere Strecken) geben. Bei der AG EB gibt es für 2018 sowohl ""Energieverbrauch im Umwandlungssektor"" als auch ""Fackel- und Leitungsverluste"". Da sich erstere Kategorie hauptsächlich auf fossile Stromerzeugung bezieht, wird nur die zweite Kategorie herangezogen zur Umrechnung von der Brutto- zur Nettoproduktion im Zielszenario. 2018 entfielen von 643451 TWh Bruttostromproduktion insgesamt 26661 TWh auf die Fackel- und Leitungsverluste, sodass ein Verlust von 4,1% angenommen wird.","AG EB 2018 Spalte AD, Zeile 39+48",https://ag-energiebilanzen.de/7-0-Bilanzen-1990-2019.html
Ass_E_P_constr_plant_invest_pct_of_wage_2017,ud,Annahme_S_B_Anteil Personalkosten Anlagenbau,0.255,,Umsatzanteil im Maschinenbau 2017 (in Ermangelung anderer Daten),Website Statistisches Bundesamt,https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Industrie-Verarbeitendes-Gewerbe/Tabellen/kennzahlen-verarbeitendes-gewerbe.html;jsessionid=41A2375DBD813E071201F4236CB11F92.live711
Ass_E_P_BHKW_efficiency_electric,ui,Wirkungsgrad elektrisch BHKW > 1 MW,0.45,,"Anhang zur Studie: Wege zu einem klimaneutralen Energiesystem, ISE",Tabelle 14,https://www.ise.fraunhofer.de/content/dam/ise/de/documents/publications/studies/Anhang-Studie-Wege-zu-einem-klimaneutralen-Energiesystem.pdf
Ass_E_P_constr_elec_ratio_wage_to_emplo_2017,ud,Personalkosten Elektriker,39240.0,,Statistisches Bundesamt: Kostenstruktur der Unternehmen im Baugewerbe 2017,Abschnitt 8,https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Bauen/Publikationen/Downloads-Baugewerbe-Struktur/kostenstruktur-baugewerbe-2040530177004.pdf?__blob=publicationFile 
Ass_E_P_local_biomass_mro_per_MWh,ud,M/O-Kosten Biogasanlage (mit KWK) ,18.92,,4% pro Jahr von 3000€/kW Investitionskosten (ISE 2018) dvidiert durch die mittleren Volllaststunden  (6343 h/a für 2018),ISE_2018_Studie_Stromgestehungskosten_Erneuerbare_Energien; Seite 10,https://www.ise.fraunhofer.de/content/dam/ise/de/documents/publications/studies/DE2018_ISE_Studie_Stromgestehungskosten_Erneuerbare_Energien.pdf
Ass_E_P_local_biomass_ratio_invest_to_power,ud,Annahme_S_B_Invest Biogas,3000000.0,,2000 - 4000 €/kW 2018,ISE_2018_Studie_Stromgestehungskosten_Erneuerbare_Energien; Seite 10,https://www.ise.fraunhofer.de/content/dam/ise/de/documents/publications/studies/DE2018_ISE_Studie_Stromgestehungskosten_Erneuerbare_Energien.pdf
Ass_E_P_local_biomass_material_costs,ud,Rohstoffkosten Stromerzeugung aus Biomasse,30.3,,Substratkosten umgerechnet über Gasertrag auf MWhth,ISE_2018_Studie_Stromgestehungskosten_Erneuerbare_Energien; Seite 14,https://www.ise.fraunhofer.de/content/dam/ise/de/documents/publications/studies/DE2018_ISE_Studie_Stromgestehungskosten_Erneuerbare_Energien.pdf
Ass_E_P_local_biomass_efficiency,ud,Wirkungsgrad Stromerzeugung aus Biomasse,0.4,,,ISE_2018_Studie_Stromgestehungskosten_Erneuerbare_Energien; Seite 14,https://www.ise.fraunhofer.de/content/dam/ise/de/documents/publications/studies/DE2018_ISE_Studie_Stromgestehungskosten_Erneuerbare_Energien.pdf
Ass_E_P_local_wind_onshore_pct_action,ud,Belegbarer Flächenanteil für Windkraftanlagen,0.02,,Potentialannahme gemäß Studie Bundesverband Windenergie,"Potential der Windenergienutzung an Land, BWE (2011)",https://www.wind-energie.de/fileadmin/redaktion/dokumente/publikationen-oeffentlich/themen/01-mensch-und-umwelt/03-naturschutz/bwe_potenzialstudie_kurzfassung_2012-03.pdf
Ass_E_P_renew_wind_offshore_ratio_invest_to_power_2020,ud,"Investitionskosten Wind Offshore 2020, inklusive Seekabel-Anbindung",3942.0,,,"Fraunhofer ISE -  WEGE ZU EINEM KLIMANEUTRALEN
ENERGIESYSTEM
- Anhang zur Studie Seite 7",https://www.ise.fraunhofer.de/ - Link zu PDF
Ass_E_P_renew_wind_offshore_ratio_invest_to_power_2030,ud,"Investitionskosten Wind Offshore bis Zieljahr (Mittelwert 2020 bis 2050),  inklusive Seekabel-Anbindung",3206.714285714286,,Da das Zieljahr nicht feststeht wurde der Mittelwert aus allen Werten zwischen 2020 und 2050 genommen. ,"Fraunhofer ISE -  WEGE ZU EINEM KLIMANEUTRALEN
ENERGIESYSTEM
- Anhang zur Studie Seite 7",https://www.ise.fraunhofer.de/ - Link zu PDF
Ass_E_P_local_wind_onshore_ratio_invest_to_power_2020,ud,Investitionskosten Wind Onshore 2020,1493.0,,,"Fraunhofer ISE -  WEGE ZU EINEM KLIMANEUTRALEN
ENERGIESYSTEM
- Anhang zur Studie Seite 7",https://www.ise.fraunhofer.de/content/dam/ise/de/documents/publications/studies/Anhang-Studie-Wege-zu-einem-klimaneutralen-Energiesystem.pdf
Ass_E_P_local_wind_onshore_ratio_invest_to_power_2030,ud,Investitionskosten Wind Onshore bis Zieljahr (Mittelwert 2020 bis 2050),1374.5714285714287,,Da das Zieljahr nicht feststeht wurde der Mittelwert aus allen Werten zwischen 2020 und 2050 genommen. ,"Fraunhofer ISE -  WEGE ZU EINEM KLIMANEUTRALEN
ENERGIESYSTEM
- Anhang zur Studie Seite 7",https://www.ise.fraunhofer.de/content/dam/ise/de/documents/publications/studies/Anhang-Studie-Wege-zu-einem-klimaneutralen-Energiesystem.pdf
Ass_E_P_renew_wind_offshore_mro_per_year,ud,M/O-Kosten Wind Offshore (Anteil an Investitionskosten),0.03,,M/O (Maintance and Operation)-Kosten sind konstant mit 3 % der Investitionskosten von 2020 bis 2050 angegeben,Fraunhofer ISE (2020) WEGE ZU EINEM KLIMANEUTRALEN ENERGIESYSTEM - Anhang zur Studie Tabelle 6 Seite 7,https://www.ise.fraunhofer.de/content/dam/ise/de/documents/publications/studies/Anhang-Studie-Wege-zu-einem-klimaneutralen-Energiesystem.pdf
Ass_E_P_local_wind_onshore_mro_per_year,ud,M/O-Kosten Wind Onshore (Anteil an Investitionskosten),0.03,,M/O (Maintance and Operation)-Kosten sind konstant mit 3 % der Investitionskosten von 2020 bis 2050 angegeben,Fraunhofer ISE (2020) WEGE ZU EINEM KLIMANEUTRALEN ENERGIESYSTEM - Anhang zur Studie Tabelle 6 Seite 7,https://www.ise.fraunhofer.de/content/dam/ise/de/documents/publications/studies/Anhang-Studie-Wege-zu-einem-klimaneutralen-Energiesystem.pdf
Ass_E_P_renew_wind_offshore_power_installable,ud,Ausbauziel Wind offshore 2020,144800.0,,Maximales Szenario 20A3 der Studie,"Studie Agora Energiewende: Making the most of offshore Wind, 2020, p. 41",https://static.agora-energiewende.de/fileadmin/Projekte/2019/Offshore_Potentials/176_A-EW_A-VW_Offshore-Potentials_Publication_WEB.pdf
Ass_E_P_renew_reverse_gud_ratio_invest_to_power,ud,Investitionskosten GUD-Kraftwerke,700.0,,Verwendet werden GuD-Kraftwerke statt reine Gasturbinen (H2-Rückverstromung) wegen des höheren Wirkungsgrades.,"Fraunhofer ISE -  WEGE ZU EINEM KLIMANEUTRALEN
ENERGIESYSTEM
- Anhang zur Studie Seite 7",https://www.ise.fraunhofer.de/content/dam/ise/de/documents/publications/studies/Anhang-Studie-Wege-zu-einem-klimaneutralen-Energiesystem.pdf
Ass_E_P_renew_reverse_gud_efficiency,ud,Wirkungsgrad GuD-Kraftwerke,0.5971428571428571,%,Mittelwert 2020 bis 2050,Fraunhofer ISE - WEGE ZU EINEM KLIMANEUTRALEN ENERGIESYSTEM - Anhang zur Studie Seite 7,https://www.ise.fraunhofer.de/content/dam/ise/de/documents/publications/studies/Anhang-Studie-Wege-zu-einem-klimaneutralen-Energiesystem.pdf
Ass_E_P_renew_reverse_efficiency_total,ufyi,Gesamtwirkungsgrad Rückverstromung H2 mit GuD-Kraftwerk (inkl. Elektrolyse),0.44785714285714284,,,,
Ass_E_P_renew_reverse_gud_cost_mro_per_MW,ud,M/O-Kosten GuDkraftwerk,21000.0,,"Berechnung aus ""Levelised Cost of Electricity"" Issue 2015 von VGB Powertech. Mittelwert aus M&O-Kosten min und max für Gas CCGT","Levelised Cost of Electricity Issue 2015 von VGB Powertech
Tabelle auf Seite 10 ",https://www.vgb.org/en/lcoe2015.html?dfid=74042
Ass_E_P_renew_reverse_gud_cost_fuel_per_MWh,ud,Energiekosten GuD,23.5,,"Berechnung aus ""Levelised Cost of Electricity"" Issue 2015 von VGB Powertech. Mittelwert aus fuel-costs min und max. Dies ist der thermische Wert, welcher noch durch den Wirkungsgrad dividiert werden muss. ","Levelised Cost of Electricity Issue 2015 von VGB Powertech
Tabelle auf Seite 11",https://www.vgb.org/en/lcoe2015.html?dfid=74043
Ass_E_P_renew_reverse_full_load_hours,ud,Volllaststunden H2 Rückverstromung,672.0,,Eine Dunkelflaute von 14 Tagen und weitere 14 Volltage Einsatz,"Energybrainppol 2017 ""KALTE DUNKELFLAUTE"" S. 4",https://www.energybrainpool.com/fileadmin/download/Studien/Studie_2017-06-26_GPE_Studie_Kalte-Dunkelflaute_Energy-Brainpool.pdf
Ass_E_G_grid_offshore_ratio_invest_to_power,ud,Investitionskosten HGÜ Nord-Süd (Mittelwert 2020 bis 2050),200000.0,€/MWel,Die Quelle gibt die Kosten in € pro kW Offshore-Wind an. HGÜ = Hochspannung-Gleichstrom-Übertragung,"Fraunhofer ISE -  WEGE ZU EINEM KLIMANEUTRALEN
ENERGIESYSTEM
- Anhang zur Studie Seite 8",https://www.ise.fraunhofer.de/content/dam/ise/de/documents/publications/studies/Anhang-Studie-Wege-zu-einem-klimaneutralen-Energiesystem.pdf
Ass_E_G_grid_pv_ratio_invest_to_power,ud,Investitionskosten Verteilnetz (Mittelwert 2020 bis 2050),140000.0,€/MWel,Die Quelle gibt die Kosten in € pro kW Photovoltaik an,"Fraunhofer ISE -  WEGE ZU EINEM KLIMANEUTRALEN
ENERGIESYSTEM
- Anhang zur Studie Seite 8",https://www.ise.fraunhofer.de/content/dam/ise/de/documents/publications/studies/Anhang-Studie-Wege-zu-einem-klimaneutralen-Energiesystem.pdf
Ass_E_G_grid_onshore_ratio_invest_to_power,ud,Investitionskosten Mittelspannung (Mittelwert 2020 bis 2050),180000.0,€/MWel,Die Quelle gibt die Kosten in € pro kW Onshore-Wind an,"Fraunhofer ISE -  WEGE ZU EINEM KLIMANEUTRALEN
ENERGIESYSTEM
- Anhang zur Studie Seite 8",https://www.ise.fraunhofer.de/content/dam/ise/de/documents/publications/studies/Anhang-Studie-Wege-zu-einem-klimaneutralen-Energiesystem.pdf
Ass_E_G_grid_offshore_mro,ud,MRO-Kosten HGÜ Nord-Süd (Mittelwert 2020 bis 2050),0.03,,,"Fraunhofer ISE -  WEGE ZU EINEM KLIMANEUTRALEN
ENERGIESYSTEM
- Anhang zur Studie Seite 8",https://www.ise.fraunhofer.de/content/dam/ise/de/documents/publications/studies/Anhang-Studie-Wege-zu-einem-klimaneutralen-Energiesystem.pdf
Ass_E_G_grid_pv_mro,ud,MRO-Kosten Verteilnetz (Mittelwert 2020 bis 2050),0.03,,,"Fraunhofer ISE -  WEGE ZU EINEM KLIMANEUTRALEN
ENERGIESYSTEM
- Anhang zur Studie Seite 8",https://www.ise.fraunhofer.de/content/dam/ise/de/documents/publications/studies/Anhang-Studie-Wege-zu-einem-klimaneutralen-Energiesystem.pdf
Ass_E_G_grid_onshore_mro,ud,MRO-Kosten Mittelspannung (Mittelwert 2020 bis 2050),0.03,,,"Fraunhofer ISE -  WEGE ZU EINEM KLIMANEUTRALEN
ENERGIESYSTEM
- Anhang zur Studie Seite 8",https://www.ise.fraunhofer.de/content/dam/ise/de/documents/publications/studies/Anhang-Studie-Wege-zu-einem-klimaneutralen-Energiesystem.pdf
Ass_E_P_pv_invest_pct_of_wage,ud,Anteil Installationskosten (Personal) PV < 30kWp,0.32,%,nach dem PV_preismonitor Deutschland lag der Anteil der Installationskosten (Personal) für einen PV-Anlage kleiner 30kWp bei 32% (Q1 2021),Photovoltaik-Preismonitor Deutschland - EUPD Research,nicht öffentlich - liegt in der cloud
Ass_E_P_local_pv_park_power_per_ha,ud,Installierbare Leistung PV Freifläche je Hektar,1.7,,siehe PV Dach,"2. 37 ISE 2020 ""Aktuelle Fakten zur Photovoltaik in Deutschland""",https://www.ise.fraunhofer.de/content/dam/ise/de/documents/publications/studies/aktuelle-fakten-zur-photovoltaik-in-deutschland.pdf
Ass_E_P_local_pv_agri_power_per_ha,ud,Installierbare Leistung Agri-PV je Hektar,0.6,,"Laut Quelle wird angenommen, dass die entsprechenden Flächen etwa zu einem Drittel mit Modulen belegt werden.","S. 38 ISE 2021 ""Aktuelle Fakten zur Photovoltaik in Deutschland""",https://www.ise.fraunhofer.de/content/dam/ise/de/documents/publications/studies/aktuelle-fakten-zur-photovoltaik-in-deutschland.pdf
